"RETAILER","VOLUME","DISP","PRICE"
"LOUISVILLE - WINN DIXIE",1660,0,2.600602
"RICHMOND/NORFOLK - FOOD LION",6749,0.103858696,2.452215
"RICHMOND/NORFOLK - NEW FARM FRESH",2275,0,2.496703
"COLUMBUS,OH - BIG BEAR",2131,0,3.4458
"COLUMBUS,OH - KROGER CO",2958,0,3.451995
"LITTLE ROCK - HARVEST FOODS",1558,0,2.927471
"WICHITA - DILLON COMPANIES",1210,0.255,3.187603
"SOUTH CAROLINA - BI LO",6859,0.449,2.386645
"SOUTH CAROLINA - FOOD LION",3413,0,2.449165
"SOUTH CAROLINA - WINN DIXIE",3901,0.235,2.386824
"ORLANDO,FL - PUBLIX",5928,0.04,2.51029
"ORLANDO,FL - WINN DIXIE",5696,0.136964764,2.530197
"ORLANDO,FL - FOOD LION",1141,0.043647199,2.509202
"SYRACUSE - P & C FOOD MARKE",479,0.182,3.2881
"SYRACUSE - PRICE CHOPPER",1718,0,2.77241
"SYRACUSE - WEGMANS",2000,0.402333333,3.473
"NEW ENGLAND (NORTH) - SHOP N SAVE",6811,0.47,1.986786
"SAN ANT/CORPUS CHR - H E BUTT",26021,0.151,2.65378
"BIRMINGHAM/MONTGOM - BRUNOS",10750,0.277375,2.310977
"BIRMINGHAM/MONTGOM - KROGER",1396,0,2.618195
"BIRMINGHAM/MONTGOM - WINN DIXIE",4440,0.011874555,2.200901
"HARRISBURG/SCRANTN - GIANT FOOD STO",1424,0.272,3.069522
"NEW YORK (NEW) - A & P",3075,0,4.406829
"NEW YORK (NEW) - PATHMARK",8920,0.0945,4.386659
"NEW YORK (NEW) - WALDBAUMS",2198,0,4.424477
"ROANOKE (NEW) - FOOD LION",3214,0.031851639,2.649969
"ROANOKE (NEW) - KROGER CO",5377,0.065008008,2.449135
"LOS ANGELES - LUCKY",12005,0.1115,2.817826
"LOS ANGELES - RALPHS",4664,0.134,3.720197
"LOS ANGELES - VONS",5430,0,3.754328
"CHICAGO - DOMINICK",5268,0.193,3.248671
"CHICAGO - JEWEL",11977,0,3.29064
"CHICAGO - OMNI",3476,0,2.571922
"HOUSTON - KROGER CO",7311,0,2.480782
"HOUSTON - RANDALLS",2536,0,3.652997
"PITTSBURGH - GIANT EAGLE",2123,0,2.292982
"DETROIT - FARMER JACKS",3550,0.017996894,3.248169
"DETROIT - KROGER CO",4439,0.0205,2.734625
"CLEVELAND - STOP N SHOP",5097,0.206576052,2.401805
"ST. LOUIS - NATIONAL SUPER",2557,0.272,3.37544
"ST. LOUIS - SCHNUCK MARKETS",22426,0.17218543,2.386694
"DALLAS/FT. WORTH - ALBERTSONS",2505,0,3.186826
"DALLAS/FT. WORTH - KROGER CO",2679,0,3.153042
"DALLAS/FT. WORTH - TOM THUMB",32402,0,1.31998
"DALLAS/FT. WORTH - WINN DIXIE",1935,0.14165035,2.653747
"BOSTON - SHAWS",2676,0,2.451794
"BOSTON - STAR MARKET",1885,0,2.386737
"BOSTON - STOP & SHOP",1639,0,2.401464
"SAN FRANCISCO - LUCKY",5227,0.129666667,3.688732
"TAMPA/ST. PETE - KASH N KARRY",4222,0,2.63406
"TAMPA/ST. PETE - PUBLIX",6479,0.008116416,2.483254
"TAMPA/ST. PETE - WINN DIXIE",5083,0,2.640567
"DENVER - KING SOOPERS INC",3514,0,3.426295
"PHILADELPHIA - ACME MARKET",2685,0,3.677095
"ATLANTA - KROGER CO",3754,0.039783898,3.382525
"ATLANTA - WINN DIXIE",2755,0,2.715064
"CINCINNATI - KROGER CO",4639,0.24,2.90429
"INDIANAPOLIS - KROGER CO",3768,0.516,2.653397
"OKLAHOMA CITY - HOMELAND",3263,0.134200557,2.417101
"SACRAMENTO - RALEYS",1329,0.174,3.802107
"SAN DIEGO - LUCKY",6313,0.3395,2.722636
"SAN DIEGO - RALPHS",1395,0.152,3.72043
"SALT LAKE CITY - SMITHS FOOD",2499,0.934,2.653862
"PHOENIX - SAFEWAY",2053,0.542,3.587433
"PHOENIX - FRY'S FOOD STORE",1788,0,3.58613
"PHOENIX - SMITHS FOOD",1130,0.331,3.185841
"MIAMI - PUBLIX",10227,0.032857985,2.402562
"MIAMI - WINN DIXIE",8453,0,2.514492
"NASHVILLE - KROGER CO",2936,0.4,2.588896
"RALEIGH/GREENSBORO - WINN DIXIE",3309,0.052604165,2.443941
"RALEIGH/GREENSBORO - FOOD LION",5735,0.135229301,2.530078
"ALBANY,NY - PRICE CHOPPER",694,0,3.021614
"BALTI/WASH - GIANT FOOD INC",3461,0,3.799769
"BALTI/WASH - SAFEWAY",6582,0.075,4.119569
"BALTI/WASH - SUPER FRESH",776,0,3.878866
"MILWAUKEE - KOHLS FOOD STORE",1423,0,3.044273
"NEW ORLEANS - WINN DIXIE",3024,0,2.8125
"BUFFALO/ROCHESTER - TOPS MARKETS",2522,0.0395,3.254956
"BUFFALO/ROCHESTER - WEGMANS",2575,0.169,3.259029
"CHARLOTTE - BI LO",1587,0,2.386894
"CHARLOTTE - HARRIS TEETER",1853,0,2.459795
"CHARLOTTE - WINN DIXIE",2748,0.060273961,2.334061
"CHARLOTTE - FOOD LION",4407,0.025187335,2.426367
"HARTFORD - STOP & SHOP",1204,0,3.358804
"JACKSONVILLE,FL - PUBLIX",1947,0.094,2.495121
"JACKSONVILLE,FL - WINN DIXIE",3227,0,2.435389
"JACKSONVILLE,FL - FOOD LION",1390,0.212666667,2.528058
"LOUISVILLE - KROGER CO",2576,0.059,2.702252
"LOUISVILLE - WINN DIXIE",1671,0.224,2.600838
"RICHMOND/NORFOLK - FOOD LION",7152,0.040607922,2.479167
"RICHMOND/NORFOLK - NEW FARM FRESH",2009,0,2.605276
"COLUMBUS,OH - BIG BEAR",1337,0.0595,3.442782
"COLUMBUS,OH - KROGER CO",2389,0,3.399749
"LITTLE ROCK - HARVEST FOODS",1593,0,2.92467
"WICHITA - DILLON COMPANIES",1507,0.318,3.071002
"SOUTH CAROLINA - BI LO",7439,0.359,2.386746
"SOUTH CAROLINA - FOOD LION",3611,0.066031522,2.469953
"SOUTH CAROLINA - WINN DIXIE",3321,0,2.386329
"ORLANDO,FL - PUBLIX",5842,0.040061633,2.457549
"ORLANDO,FL - WINN DIXIE",4629,0.211957367,2.521495
"ORLANDO,FL - FOOD LION",1089,0.043,2.496786
"SYRACUSE - P & C FOOD MARKE",444,0.141,3.290541
"SYRACUSE - PRICE CHOPPER",482,0,2.788382
"SYRACUSE - WEGMANS",810,0.413,3.475309
"NEW ENGLAND (NORTH) - SHOP N SAVE",7445,0.384,1.986702
"SAN ANT/CORPUS CHR - H E BUTT",14422,0.139,3.216614
"BIRMINGHAM/MONTGOM - BRUNOS",9255,0.243745712,2.320908
"BIRMINGHAM/MONTGOM - KROGER",1407,0.491,2.624733
"BIRMINGHAM/MONTGOM - WINN DIXIE",4756,0.013182639,2.323381
"HARRISBURG/SCRANTN - GIANT FOOD STO",1113,0.12,2.652291
"NEW YORK (NEW) - A & P",2673,0,4.396932
"NEW YORK (NEW) - PATHMARK",2707,0,4.387883
"NEW YORK (NEW) - WALDBAUMS",1311,0,4.427918
"ROANOKE (NEW) - FOOD LION",2848,0.051776838,2.538272
"ROANOKE (NEW) - KROGER CO",4361,0.025742159,2.455859
"LOS ANGELES - LUCKY",10733,0.073,3.110593
"LOS ANGELES - RALPHS",11418,0.024076702,2.520056
"LOS ANGELES - VONS",5170,0,3.679304
"CHICAGO - DOMINICK",21729,0.438,2.386672
"CHICAGO - JEWEL",12673,0,3.231595
"CHICAGO - OMNI",25996,0.651,1.706686
"HOUSTON - KROGER CO",7553,0,2.485767
"HOUSTON - RANDALLS",3220,0,3.628571
"PITTSBURGH - GIANT EAGLE",2680,0,2.302239
"DETROIT - FARMER JACKS",3355,0.024290516,3.26468
"DETROIT - KROGER CO",4530,0,2.725828
"CLEVELAND - STOP N SHOP",4000,0.183995207,2.50975
"ST. LOUIS - NATIONAL SUPER",2009,0.112,3.407168
"ST. LOUIS - SCHNUCK MARKETS",5482,0.034005464,3.153046
"DALLAS/FT. WORTH - ALBERTSONS",3348,0,2.653226
"DALLAS/FT. WORTH - KROGER CO",2623,0,3.729699
"DALLAS/FT. WORTH - TOM THUMB",2241,0.0835,3.319946
"DALLAS/FT. WORTH - WINN DIXIE",1826,0.250276873,2.654436
"BOSTON - SHAWS",2598,0,2.450731
"BOSTON - STAR MARKET",524,0,3.124046
"BOSTON - STOP & SHOP",7764,0,2
"SAN FRANCISCO - LUCKY",5553,0.094666667,3.709346
"TAMPA/ST. PETE - KASH N KARRY",4014,0,2.618087
"TAMPA/ST. PETE - PUBLIX",6735,0.007497298,2.486711
"TAMPA/ST. PETE - WINN DIXIE",4990,0,2.581363
"DENVER - KING SOOPERS INC",8202,0.028,2.678249
"PHILADELPHIA - ACME MARKET",32358,0.157,1.986649
"ATLANTA - KROGER CO",3749,0.037809707,3.177914
"ATLANTA - WINN DIXIE",2539,0,2.70382
"CINCINNATI - KROGER CO",4257,0.337,3.01245
"INDIANAPOLIS - KROGER CO",3658,0.241,2.653362
"OKLAHOMA CITY - HOMELAND",2510,0.117287469,2.395219
"SACRAMENTO - RALEYS",1395,0.173,3.853047
"SAN DIEGO - LUCKY",4619,0.218,3.219312
"SAN DIEGO - RALPHS",4013,0.33,2.52006
"SALT LAKE CITY - SMITHS FOOD",1276,0.762,3.054075
"PHOENIX - SAFEWAY",1036,0.442,3.585907
"PHOENIX - FRY'S FOOD STORE",1614,0,3.587361
"PHOENIX - SMITHS FOOD",1012,0.413,2.520751
"MIAMI - PUBLIX",10289,0.003935456,2.391583
"MIAMI - WINN DIXIE",8358,0,2.520101
"NASHVILLE - KROGER CO",4561,0.4,1.999781
"RALEIGH/GREENSBORO - WINN DIXIE",2798,0.041255419,2.462473
"RALEIGH/GREENSBORO - FOOD LION",5002,0.079003039,2.520592
"ALBANY,NY - PRICE CHOPPER",1417,0,2.821454
"BALTI/WASH - GIANT FOOD INC",3596,0,3.784205
"BALTI/WASH - SAFEWAY",4271,0.075,4.119878
"BALTI/WASH - SUPER FRESH",878,0,3.919134
"MILWAUKEE - KOHLS FOOD STORE",1764,0,3.028345
"NEW ORLEANS - WINN DIXIE",2988,0,2.9334
"BUFFALO/ROCHESTER - TOPS MARKETS",19890,0.1975,2.24002
"BUFFALO/ROCHESTER - WEGMANS",51112,0.410333333,1.720027
"CHARLOTTE - BI LO",1573,0,2.387158
"CHARLOTTE - HARRIS TEETER",1757,0,2.487194
"CHARLOTTE - WINN DIXIE",2808,0.073367047,2.332977
"CHARLOTTE - FOOD LION",4015,0.013269231,2.485679
"HARTFORD - STOP & SHOP",12537,0,2
"JACKSONVILLE,FL - PUBLIX",1916,0.043,2.525574
"JACKSONVILLE,FL - WINN DIXIE",2999,0,2.434145
"JACKSONVILLE,FL - FOOD LION",1446,0.157333333,2.53112
"LOUISVILLE - KROGER CO",2231,0.106991255,2.717167
"LOUISVILLE - WINN DIXIE",1707,0.224,2.600469
"RICHMOND/NORFOLK - FOOD LION",6452,0.056081456,2.467762
"RICHMOND/NORFOLK - NEW FARM FRESH",2152,0,2.607807
"COLUMBUS,OH - BIG BEAR",2076,0,2.707611
"COLUMBUS,OH - KROGER CO",10323,0.094127846,2.21331
"LITTLE ROCK - HARVEST FOODS",1432,0,2.927374
"WICHITA - DILLON COMPANIES",1570,0.264,3.066242
"SOUTH CAROLINA - BI LO",6182,0.359,2.386606
"SOUTH CAROLINA - FOOD LION",3332,0,2.508103
"SOUTH CAROLINA - WINN DIXIE",3205,0.234,2.386271
"ORLANDO,FL - PUBLIX",5799,0.004196104,2.44956
"ORLANDO,FL - WINN DIXIE",4093,0.147193396,2.529196
"ORLANDO,FL - FOOD LION",1002,0.046269727,2.48004
"SYRACUSE - P & C FOOD MARKE",469,0.324,3.336887
"SYRACUSE - PRICE CHOPPER",1221,0.227,2.637183
"SYRACUSE - WEGMANS",13211,0.537333333,1.71993
"NEW ENGLAND (NORTH) - SHOP N SAVE",5105,0.581,2.048188
"SAN ANT/CORPUS CHR - H E BUTT",14890,0.162,3.011484
"BIRMINGHAM/MONTGOM - BRUNOS",8693,0.162178082,2.347866
"BIRMINGHAM/MONTGOM - KROGER",2083,0.043007299,2.024964
"BIRMINGHAM/MONTGOM - WINN DIXIE",4350,0.010039632,2.33931
"HARRISBURG/SCRANTN - GIANT FOOD STO",1065,0.12,2.678873
"NEW YORK (NEW) - A & P",3109,0,3.780637
"NEW YORK (NEW) - PATHMARK",2223,0.024938697,4.386415
"NEW YORK (NEW) - WALDBAUMS",1411,0,4.437279
"ROANOKE (NEW) - FOOD LION",3115,0.037793427,2.493419
"ROANOKE (NEW) - KROGER CO",5319,0.07281779,2.475089
"LOS ANGELES - LUCKY",10227,0.0415,3.129266
"LOS ANGELES - RALPHS",6091,0.584,3.052865
"LOS ANGELES - VONS",5661,0,3.66384
"CHICAGO - DOMINICK",5009,0.148,3.217009
"CHICAGO - JEWEL",26418,0.108997871,2.386668
"CHICAGO - OMNI",3070,0,2.445277
"HOUSTON - KROGER CO",7923,0,2.475199
"HOUSTON - RANDALLS",3161,0,3.635558
"PITTSBURGH - GIANT EAGLE",2525,0,2.257426
"DETROIT - FARMER JACKS",2791,0,3.297026
"DETROIT - KROGER CO",4370,0,2.731121
"CLEVELAND - STOP N SHOP",3379,0.060488458,2.576798
"ST. LOUIS - NATIONAL SUPER",9362,0.865,2.700171
"ST. LOUIS - SCHNUCK MARKETS",8639,0.018118397,2.653316
"DALLAS/FT. WORTH - ALBERTSONS",3683,0,2.653543
"DALLAS/FT. WORTH - KROGER CO",1979,0,3.731177
"DALLAS/FT. WORTH - TOM THUMB",2373,0,3.319005
"DALLAS/FT. WORTH - WINN DIXIE",2043,0.075035008,2.653451
"BOSTON - SHAWS",2700,0,2.445556
"BOSTON - STAR MARKET",548,0,3.120438
"BOSTON - STOP & SHOP",1626,0,2.568266
"SAN FRANCISCO - LUCKY",9882,0.223333333,2.825845
"TAMPA/ST. PETE - KASH N KARRY",3966,0,2.614221
"TAMPA/ST. PETE - PUBLIX",5493,0.020497244,2.607683
"TAMPA/ST. PETE - WINN DIXIE",5134,0.014601139,2.537203
"DENVER - KING SOOPERS INC",4260,0.0275,3.476761
"PHILADELPHIA - ACME MARKET",2559,0.067,3.702618
"ATLANTA - KROGER CO",4040,0.038414414,3.15
"ATLANTA - WINN DIXIE",2637,0,2.691695
"CINCINNATI - KROGER CO",4067,0.337,3.008114
"INDIANAPOLIS - KROGER CO",3402,0.238,2.652851
"OKLAHOMA CITY - HOMELAND",1934,0.041912938,2.521717
"SACRAMENTO - RALEYS",1114,0.173,3.852783
"SAN DIEGO - LUCKY",4135,0.2,3.263362
"SAN DIEGO - RALPHS",2164,0.65,3.053604
"SALT LAKE CITY - SMITHS FOOD",1165,0.438,2.638627
"PHOENIX - SAFEWAY",1878,0.363,2.653887
"PHOENIX - FRY'S FOOD STORE",1801,0,3.587451
"PHOENIX - SMITHS FOOD",1935,0.235,3.186563
"MIAMI - PUBLIX",10279,0.012280237,2.394688
"MIAMI - WINN DIXIE",8542,0,2.502458
"NASHVILLE - KROGER CO",4412,0.466,2.047597
"RALEIGH/GREENSBORO - WINN DIXIE",2692,0.06008165,2.446508
"RALEIGH/GREENSBORO - FOOD LION",4972,0.087870419,2.54827
"ALBANY,NY - PRICE CHOPPER",608,0,3.029605
"BALTI/WASH - GIANT FOOD INC",3556,0,3.79162
"BALTI/WASH - SAFEWAY",3575,0.075,4.12
"BALTI/WASH - SUPER FRESH",830,0,3.836145
"MILWAUKEE - KOHLS FOOD STORE",3592,0.054,3.021993
"NEW ORLEANS - WINN DIXIE",2693,0,2.965837
"BUFFALO/ROCHESTER - TOPS MARKETS",2246,0.1285,3.240427
"BUFFALO/ROCHESTER - WEGMANS",7697,0.240666667,2.653371
"CHARLOTTE - BI LO",1587,0.177,2.387524
"CHARLOTTE - HARRIS TEETER",1457,0,2.47083
"CHARLOTTE - WINN DIXIE",2601,0.398,2.332949
"CHARLOTTE - FOOD LION",3967,0.004414186,2.441896
"HARTFORD - STOP & SHOP",1167,0,3.358183
"JACKSONVILLE,FL - PUBLIX",1970,0.043,2.503046
"JACKSONVILLE,FL - WINN DIXIE",2930,0,2.44744
"JACKSONVILLE,FL - FOOD LION",1201,0.130446188,2.461282
"LOUISVILLE - KROGER CO",1910,0.106402256,2.691099
"LOUISVILLE - WINN DIXIE",2161,0.371,2.570106
"RICHMOND/NORFOLK - FOOD LION",4424,0.045055959,2.469485
"RICHMOND/NORFOLK - NEW FARM FRESH",2159,0,2.562297
"COLUMBUS,OH - BIG BEAR",2037,0,2.778596
"COLUMBUS,OH - KROGER CO",3771,0.042139351,3.166269
"LITTLE ROCK - HARVEST FOODS",1491,0,2.853789
"WICHITA - DILLON COMPANIES",1428,0.232,3.067227
"SOUTH CAROLINA - BI LO",6539,0.393,2.386603
"SOUTH CAROLINA - FOOD LION",3378,0,2.478982
"SOUTH CAROLINA - WINN DIXIE",2670,0.233,2.386891
"ORLANDO,FL - PUBLIX",5553,0.004294383,2.441923
"ORLANDO,FL - WINN DIXIE",4181,0.118365281,2.572351
"ORLANDO,FL - FOOD LION",976,0.041365136,2.484631
"SYRACUSE - P & C FOOD MARKE",482,0.184,3.288382
"SYRACUSE - PRICE CHOPPER",459,0.0775,2.736383
"SYRACUSE - WEGMANS",2433,0.246854215,2.458282
"NEW ENGLAND (NORTH) - SHOP N SAVE",8374,0.56,1.986506
"SAN ANT/CORPUS CHR - H E BUTT",12441,0.173,3.053372
"BIRMINGHAM/MONTGOM - BRUNOS",9217,0.162508868,2.33167
"BIRMINGHAM/MONTGOM - KROGER",2156,0.279,2.017625
"BIRMINGHAM/MONTGOM - WINN DIXIE",3948,0.009942765,2.349797
"HARRISBURG/SCRANTN - GIANT FOOD STO",1121,0.12,2.656557
"NEW YORK (NEW) - A & P",5554,0,2.687252
"NEW YORK (NEW) - PATHMARK",2263,0.061518171,4.386655
"NEW YORK (NEW) - WALDBAUMS",1235,0,4.431579
"ROANOKE (NEW) - FOOD LION",2900,0.079518877,2.452069
"ROANOKE (NEW) - KROGER CO",4209,0.026129794,2.469708
"LOS ANGELES - LUCKY",12977,0.0845,2.914849
"LOS ANGELES - RALPHS",5933,0.529,3.053093
"LOS ANGELES - VONS",5680,0,3.74912
"CHICAGO - DOMINICK",5690,0.148,3.257118
"CHICAGO - JEWEL",31314,0.113766319,2.400172
"CHICAGO - OMNI",3193,0,2.720326
"HOUSTON - KROGER CO",9606,0,2.486883
"HOUSTON - RANDALLS",2756,0,3.647315
"PITTSBURGH - GIANT EAGLE",3873,0.014126761,2.241673
"DETROIT - FARMER JACKS",2881,0,3.331829
"DETROIT - KROGER CO",5280,0,2.714394
"CLEVELAND - STOP N SHOP",4112,0.035229369,2.64251
"ST. LOUIS - NATIONAL SUPER",4278,0.112,3.255493
"ST. LOUIS - SCHNUCK MARKETS",9540,0.011121673,2.653354
"DALLAS/FT. WORTH - ALBERTSONS",3885,0,3.130759
"DALLAS/FT. WORTH - KROGER CO",2588,0,2.653014
"DALLAS/FT. WORTH - TOM THUMB",2396,0,3.74374
"DALLAS/FT. WORTH - WINN DIXIE",2174,0.01306066,2.50644
"BOSTON - SHAWS",2881,0,2.454009
"BOSTON - STAR MARKET",652,0,3.116564
"BOSTON - STOP & SHOP",1834,0,2.583424
"SAN FRANCISCO - LUCKY",12646,0.163666667,2.811007
"TAMPA/ST. PETE - KASH N KARRY",4566,0,2.679369
"TAMPA/ST. PETE - PUBLIX",4878,0.01970982,2.746207
"TAMPA/ST. PETE - WINN DIXIE",5178,0,2.670722
"DENVER - KING SOOPERS INC",3671,0.027,3.57532
"PHILADELPHIA - ACME MARKET",3048,0,3.712598
"ATLANTA - KROGER CO",4126,0.036065757,3.148085
"ATLANTA - WINN DIXIE",2739,0,2.705367
"CINCINNATI - KROGER CO",3910,0.241,3.028645
"INDIANAPOLIS - KROGER CO",3732,0.238,2.653001
"OKLAHOMA CITY - HOMELAND",1493,0.053114616,2.840589
"SACRAMENTO - RALEYS",1535,0.173,3.852769
"SAN DIEGO - LUCKY",6540,0.2755,2.975076
"SAN DIEGO - RALPHS",1928,0.456,3.053423
"SALT LAKE CITY - SMITHS FOOD",2462,0.469,2.520309
"PHOENIX - SAFEWAY",2711,0.363,2.653264
"PHOENIX - FRY'S FOOD STORE",4193,0,2.586692
"PHOENIX - SMITHS FOOD",2696,0.412,3.186573
"MIAMI - PUBLIX",8141,0.026555186,2.5546
"MIAMI - WINN DIXIE",8412,0,2.531978
"NASHVILLE - KROGER CO",4557,0.319,2.012728
"RALEIGH/GREENSBORO - WINN DIXIE",2816,0.049374331,2.432528
"RALEIGH/GREENSBORO - FOOD LION",4994,0.153515113,2.517221
"ALBANY,NY - PRICE CHOPPER",665,0,3.027068
"BALTI/WASH - GIANT FOOD INC",4343,0,3.760074
"BALTI/WASH - SAFEWAY",3336,0,4.119604
"BALTI/WASH - SUPER FRESH",941,0,3.899044
"MILWAUKEE - KOHLS FOOD STORE",1544,0,3.040155
"NEW ORLEANS - WINN DIXIE",3457,0,2.868962
"BUFFALO/ROCHESTER - TOPS MARKETS",2432,0.1285,3.233964
"BUFFALO/ROCHESTER - WEGMANS",2185,0.148666667,3.347826
"CHARLOTTE - BI LO",1766,0.311,2.386183
"CHARLOTTE - HARRIS TEETER",1556,0,2.506427
"CHARLOTTE - WINN DIXIE",2558,0.083126582,2.333855
"CHARLOTTE - FOOD LION",4626,0,2.429745
"HARTFORD - STOP & SHOP",1352,0,3.352071
"JACKSONVILLE,FL - PUBLIX",1836,0.014910299,2.540305
"JACKSONVILLE,FL - WINN DIXIE",3307,0,2.437557
"JACKSONVILLE,FL - FOOD LION",1368,0.188666667,2.472222
"LOUISVILLE - KROGER CO",2411,0.052020198,2.710079
"LOUISVILLE - WINN DIXIE",1857,0.371,2.534195
"RICHMOND/NORFOLK - FOOD LION",5050,0.044806147,2.503762
"RICHMOND/NORFOLK - NEW FARM FRESH",2186,0,2.571363
"COLUMBUS,OH - BIG BEAR",2154,0.0595,2.734912
"COLUMBUS,OH - KROGER CO",2318,0.14,3.186368
"LITTLE ROCK - HARVEST FOODS",1840,0.027033636,2.775543
"WICHITA - DILLON COMPANIES",1179,0.013483066,3.066158
"SOUTH CAROLINA - BI LO",7237,0.5,2.386762
"SOUTH CAROLINA - FOOD LION",4062,0,2.45741
"SOUTH CAROLINA - WINN DIXIE",2451,0,2.386781
"ORLANDO,FL - PUBLIX",4620,0.007199038,2.457359
"ORLANDO,FL - WINN DIXIE",4484,0.120741497,2.595897
"ORLANDO,FL - FOOD LION",1092,0.038280488,2.492674
"SYRACUSE - P & C FOOD MARKE",543,0,3.313076
"SYRACUSE - PRICE CHOPPER",531,0.0775,2.868173
"SYRACUSE - WEGMANS",675,0.323333333,3.453333
"NEW ENGLAND (NORTH) - SHOP N SAVE",8222,0.56,1.986865
"SAN ANT/CORPUS CHR - H E BUTT",12485,0.117,3.079616
"BIRMINGHAM/MONTGOM - BRUNOS",10690,0.287202635,2.34275
"BIRMINGHAM/MONTGOM - KROGER",1981,0,2.047451
"BIRMINGHAM/MONTGOM - WINN DIXIE",4645,0.009947313,2.352207
"HARRISBURG/SCRANTN - GIANT FOOD STO",1007,0.3625,3.126117
"NEW YORK (NEW) - A & P",11952,0,2.682062
"NEW YORK (NEW) - PATHMARK",31639,0.127762854,3.540535
"NEW YORK (NEW) - WALDBAUMS",1375,0,4.413818
"ROANOKE (NEW) - FOOD LION",3021,0.033587188,2.473353
"ROANOKE (NEW) - KROGER CO",4298,0.028229628,2.503025
"LOS ANGELES - LUCKY",14662,0.0845,2.901173
"LOS ANGELES - RALPHS",6794,0.578,3.053577
"LOS ANGELES - VONS",5607,0,3.760656
"CHICAGO - DOMINICK",5377,0.148,3.258322
"CHICAGO - JEWEL",12630,0,3.106413
"CHICAGO - OMNI",2866,0,2.729588
"HOUSTON - KROGER CO",14127,0.07900551,2.430452
"HOUSTON - RANDALLS",2900,0,3.661724
"PITTSBURGH - GIANT EAGLE",2888,0.01551768,2.254155
"DETROIT - FARMER JACKS",2747,0,3.254823
"DETROIT - KROGER CO",3998,0,2.74012
"CLEVELAND - STOP N SHOP",2448,0.093170304,2.876634
"ST. LOUIS - NATIONAL SUPER",1657,0,3.730839
"ST. LOUIS - SCHNUCK MARKETS",9612,0.24,2.818144
"DALLAS/FT. WORTH - ALBERTSONS",3000,0,3.205333
"DALLAS/FT. WORTH - KROGER CO",2214,0,3.735772
"DALLAS/FT. WORTH - TOM THUMB",1899,0,2.666667
"DALLAS/FT. WORTH - WINN DIXIE",2292,0.146503602,2.506981
"BOSTON - SHAWS",2702,0,2.443745
"BOSTON - STAR MARKET",500,0,3.12
"BOSTON - STOP & SHOP",1641,0,2.596587
"SAN FRANCISCO - LUCKY",7385,0.123986979,3.551659
"TAMPA/ST. PETE - KASH N KARRY",4125,0,2.644606
"TAMPA/ST. PETE - PUBLIX",4134,0.0133426,2.791485
"TAMPA/ST. PETE - WINN DIXIE",4314,0,2.761011
"DENVER - KING SOOPERS INC",3792,0,3.508966
"PHILADELPHIA - ACME MARKET",2531,0,3.710786
"ATLANTA - KROGER CO",4035,0,3.144486
"ATLANTA - WINN DIXIE",2613,0,2.693456
"CINCINNATI - KROGER CO",3387,0.298,3.052259
"INDIANAPOLIS - KROGER CO",3581,0.239,2.653449
"OKLAHOMA CITY - HOMELAND",1043,0,3.237776
"SACRAMENTO - RALEYS",1487,0.348,3.739072
"SAN DIEGO - LUCKY",5656,0.165,3.015382
"SAN DIEGO - RALPHS",2329,0.456,3.053671
"SALT LAKE CITY - SMITHS FOOD",1424,0.396,2.974017
"PHOENIX - SAFEWAY",2323,0.175,2.653896
"PHOENIX - FRY'S FOOD STORE",4677,0,2.573017
"PHOENIX - SMITHS FOOD",1099,0.187,3.320291
"MIAMI - PUBLIX",9074,0.038611602,2.772096
"MIAMI - WINN DIXIE",8662,0,2.512237
"NASHVILLE - KROGER CO",2595,0.409,2.912909
"RALEIGH/GREENSBORO - WINN DIXIE",2879,0.013976047,2.450851
"RALEIGH/GREENSBORO - FOOD LION",4341,0,2.582585
"ALBANY,NY - PRICE CHOPPER",1513,0.091,2.386649
"BALTI/WASH - GIANT FOOD INC",3171,0,3.798802
"BALTI/WASH - SAFEWAY",2781,0,4.121179
"BALTI/WASH - SUPER FRESH",907,0,3.90849
"MILWAUKEE - KOHLS FOOD STORE",1064,0,3.048872
"NEW ORLEANS - WINN DIXIE",4002,0,2.681409
"BUFFALO/ROCHESTER - TOPS MARKETS",2027,0.099,3.233843
"BUFFALO/ROCHESTER - WEGMANS",2235,0.037666667,3.346309
"CHARLOTTE - BI LO",1863,0.284,2.386473
"CHARLOTTE - HARRIS TEETER",1790,0,2.486034
"CHARLOTTE - WINN DIXIE",2852,0.039441441,2.3331
"CHARLOTTE - FOOD LION",4146,0.004298246,2.462856
"HARTFORD - STOP & SHOP",1361,0,3.329904
"JACKSONVILLE,FL - PUBLIX",1598,0,2.517522
"JACKSONVILLE,FL - WINN DIXIE",3828,0,2.422936
"JACKSONVILLE,FL - FOOD LION",1329,0.18,2.467269
"LOUISVILLE - KROGER CO",2303,0.048991071,2.723404
"LOUISVILLE - WINN DIXIE",1742,0.262,2.600459
"RICHMOND/NORFOLK - FOOD LION",5246,0.018965241,2.471216
"RICHMOND/NORFOLK - NEW FARM FRESH",2085,0,2.6753
"COLUMBUS,OH - BIG BEAR",1793,0.0695,3.08812
"COLUMBUS,OH - KROGER CO",2149,0.14,3.187064
"LITTLE ROCK - HARVEST FOODS",2855,0.169876068,2.65324
"WICHITA - DILLON COMPANIES",949,0.232,3.41412
"SOUTH CAROLINA - BI LO",7906,0.496,2.386542
